app_id,app_category,number_of_downloads,standard,standard_reason
11,Business,1M+,Good Standard,"The privacy policy appears to adhere well to the GDPR Article 5 principles, indicating that it is of Good Standard. Specifically, it achieves lawfulness by stating that data processing is in compliance with 'Applicable Law' and that consent is obtained where necessary (Section 3.3). The principle of transparency has also been met, as the document thoroughly explains the type of personal information collected by the company from both visitors and users (Section 3), how this data will be used (paragraph 4, referred in Section 3.3) and the automated means used for data collection (Section 3.4). The policy also implies a respect for data minimization in Section 3.2, stating that it doesn't collect unnecessary or excessive personal information; it aligns with accuracy in Section 3.3, promising to disregard irrelevant personal information; and it complies with integrity and confidentiality by assuring that location information will be stored according to storage policies and the Applicable Law (Section 3.4i). However, while it generally meets good privacy standards, there is no explicit mention of storage limitation and specific security measures, which should ideally be included for a comprehensive Good privacy policy."
12,Business,1M+,Good Standard,"The privacy policy provided by Motive Technologies, Inc. shows a good standard as it respects many principles of GDPR Article 5 principles. Here's how:
1. Lawfulness: The policy identifies the lawful bases for data processing, mentioning several instances such as 'performance of contract', 'legitimate interest' and 'compliance with law' (section 4).
2. Transparency: The document explains in detail how the company collects, uses, shares, and stores personal data (sections 3, 4, 5, and 6), ensuring individuals are not misled about the usage of their personal data.
3. Purpose Limitation: It specifies the purposes for data collection and use (section 4), insisting that data will not be used in a manner incompatible with these purposes.
4. Data Minimization: The policy doesn't explicitly state that data collection is minimized to what's necessary, but there are no indications of excessive data collection.
5. Accuracy: The policy states that users can access and edit their information at any time (sections 9.1 and  9.2), suggesting measures are in place to support data accuracy.
6. Storage Limitation: It implies a storage limitation policy, stating that data is retained only as long as is reasonably necessary for the stated purposes (section 4).
7. Integrity and Confidentiality: It indicates that reasonable measures are taken to protect personal data from unauthorized access or misuse (section 6.1)
However, there are points for improvement:
- A more explicit commitment to data minimization would strengthen the policy.
- An explicit timeframe for data retention, rather than the phrase “reasonably necessary,” would further improve transparency and meet storage limitation principle.
- There's a large amount of third-party sharing (section 5 and 5.8) which may raise potential concerns. While Motive doesn't appear to obscure this activity and offers some opt-out methods, it's worth noting that too much third-party sharing can sometimes be a red flag.
- The policy states ""Motive does not sell your Personal Information in the traditional sense of the word,"" but it does admit sharing information as part of affiliate advertising networks that might fall under the definition of 'selling' data in the context of laws like CCPA (section 5.10). This is not necessarily bad but could be seen as controversial based on interpretations of data privacy laws.
Overall, the policy does a good job at articulating its data privacy practices and respects the majority of the GDPR principles. Be aware that the decision is dependent on the particular interpretation of the policy and could vary between different privacy experts."
13,Business,1M+,Good Standard,"The privacy policy is stated in clear terms, and is user-friendly. This is demonstrated in sections like “Transparency and choice”, which explains what information is gathered and why, and how the user can control their privacy settings.
The policy outlines a clear legal basis for processing data, directly aligning with the General Data Protection Regulation 2016/679 (“GDPR”) and the California Consumer Privacy Act (“CCPA”). This complies with the lawfulness principle in GDPR Article 5.
The policy shows a specification on purpose limitation principle by expressing the exact purposes for data collection, such as to improve and offer more personalized services to its users. It includes specific information about data minimization, reason and method of data collection, storage limitation.
The policy also states how personal data is protected from unauthorized access, accidental loss, destruction, or damage through the use of robust security measures, ensuring data integrity and confidentiality.
Moreover, the ""Retention of Personal Data"" section complies with the storage limitation principle by stating that personal information is only stored for as long as necessary to provide the services. The privacy policy also guarantees mechanisms for data accuracy and allows users to easily rectify or update their information, this includes the “Correction” section.
Appendices explain processes to protect consumer rights under GDPR and CCPA, and how to lodge complaints or concerns, this provides further clarity and transparency.
However, the policy could be improved by providing users with a clear indication of the duration for which their data will be stored. Overall, this privacy policy demonstrates good standards because it is compliant with the principles of GDPR Article 5."
14,Business,1M+,Good Standard,"The TurboScan Privacy Policy provides clear evidence of upholding principles of lawfulness, fairness, transparency, data minimization, purpose limitation, storage limitation, and integrity and confidentiality. Specifically, the policy discloses the permissions required and the reasons for them (lawfulness). It also mentions clearly that documents are stored locally and shared only when users decide to transfer them to other services (transparency, data minimization, purpose limitation). The policy informs the users about the anonymized and aggregated data collection for analytics to improve the app, but doesn't disclose how to correct inaccurate data (accuracy, purpose limitation). Storage limitation is observed as data is kept on the device and shared only by user action, however, it does not explicitly state a retention period. While there is an emphasis on local storage of data, more detailed information about preventive security measures against data breaches is needed for the integrity and confidentiality part. The ""Changes"" and ""Contact Us"" sections provides transparency but could be more explicit in regard to notifying users about changes in the privacy policy."
15,Business,1M+,Good Standard,"The privacy policy of DesignEvo presented by PearlMountain Limited adheres to Good Standard policy. It is clearly outlined and provides comprehensive details on the collection, use, sharing, and storage of user data. The policy addresses the principle of lawfulness, as it states its legitimate reasons for gathering various sets of user data, such as registration, payment, and usage information. The fairness principle is observed as users are given the ability to modify their privacy settings, manage subscriptions, and delete their accounts if they're not satisfied. Transparency is shown as their practices are detailed extensively. Furthermore, the policy demonstrates data minimization by declaring that they will collect no more data than is necessary for providing their services. There is assurance for data accuracy and the possibility for data rectification as users may access and modify their information. On data storage limitation, the policy indicates that they do not store sensitive payment details and only collect necessary data. Lastly, the principle of integrity and confidentiality is demonstrated through the company's commitment to use internationally accepted standards to protect user information from being compromised."
16,Business,1M+,Good Standard,"The privacy policy is quite comprehensive and stipulates clear guidelines in compliance with the principles of GDPR. It explains what data is being collected, the categories in which data is segmentated, and how the data will be used. It covers almost every aspect required by a good privacy policy standard. Among those, the purpose limitation aspect of GDPR has been met as it explicitly outlines the purposes for which the data is collected. The policy also covers the principle of data minimization by stating that data collected is limited to what is necessary to provide the services. The principle of transparency is satisfied because the privacy policy is provided in a clear, open, and understandable manner. The policy also covers the principle of storage limitation by stating that the data accessed is securely stored and can be deleted upon request, and it also describes integrity and confidentiality of data protection. However, there could be more detailed information on the data retention period which could provide more clarity to the users."
17,Business,1M+,Good Standard,"The privacy policy by Grubhub is of a good standard as it abides by the stipulated GDPR Article 5 principles.
1. **Lawfulness, Fairness, and Transparency**: The policy clearly states the processing basis for the data it collects, and the specific uses of this data (Sections 1.1 to 1.09). It is transparent about how the data is used, shared, and stored (Sections 1.1 to 1.10, 4.1, 4.2).
2. **Purpose Limitation**: The policy strictly collects and processes data for specific and legitimate purposes which are clearly defined throughout the document (Sections 1.1 to 1.8).
3. **Data Minimization**: Grubhub only collects necessary and relevant data that facilitates their services effectively (Sections 1.1 to 1.8).
4. **Accuracy**: Grubhub makes efforts to keep users’ data accurate through regular updates and encourages users to maintain their information accurately (Section 2.3).
5. **Storage Limitation**: The policy mentions the storage limits for each type of data collected, ending either with the termination of users' accounts with Grubhub or a duration that is necessary for Grubhub's legal obligations and defending against legal claims (Sections 1.1 to 1.8).
6. **Integrity and Confidentiality**: Grubhub has put in place measures to ensure the security of users' data (Section 4.2). It takes immediate steps"
18,Business,1M+,Good Standard,"The privacy policy of the Rapid Scanner app built by CJSVM is generally good because it meets most of the standards set by GDPR Article 5 principles.
First and foremost, it clearly states the lawful basis for collecting and processing data, which is for providing and improving its service. Consent is also sought from the users as their agreement to the policy is mandatory if they choose to use the service (Principle of Lawfulness).
The policy is fairly transparent about its practices of using personal information. It informs the users about the information saved on their devices, use of third party services and log data collection in case of app errors (Principles of Transparency and Fairness).
It details the use of third-party service providers, their access to personal info and their obligations to keep it confidential. It also covers aspects of data storage limitation by not keeping any data from users under the age of 13, and promptly deleting any such data discovered (Principles of Purpose Limitation, Data Minimization, and Storage Limitation).
However, while the policy does state the commitment to employ commercially acceptable means to protect personal information, it could do better in confidentiality and integrity standards by detailing the specific security measures taken.
As with any privacy policy, continuous reviews and updates are essential and this document indicates that updates will be implemented from time to time (Principle of Accuracy)."
19,Business,1M+,Good Standard,"The privacy policy outlined is comprehensive and adheres well to the GDPR principles. It clearly states the legal basis for processing data for each purpose, from maintaining website security to event registration, visitor health, and managing user accounts. It assures data is used for explicit, legitimate purposes, integrates data minimization by collecting only necessary data, and allows users to control their data. The policy also mentions accuracy measures, storage limitation factors, and acknowledges the importance of data integrity and security. The company explicitly mentions the use of user consent and takes other reasonable steps such as erasing data that is no longer required. Overall, the policy demonstrates principles of lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, and data integrity and confidentiality implicitly and explicitly. The purpose, legal basis, and the process to control the processing are clearly defined making it understandable to average users. Hence, considering the GDPR principles, the policy can be classified as Good Standard."
20,Business,1M+,Good Standard,"The overall standards of this privacy policy are good based on the articulation of the corresponding principles in GDPR. This includes aspects such as lawfulness, fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, and integrity and confidentiality.
1. Lawfulness, Fairness, and Transparency: The policy is clear in its language and covers the data collection and disclosure practices that users can expect. This can be seen in sections such as 'Información Que Recopilamos', 'Cómo Utilizamos Su Información', and 'Cómo Divulgamos la Información'.
2. Purpose Limitation: The policy clearly communicates what purposes personal data will be used for in the section 'Cómo Utilizamos Su Información' and does not indicate that it will be used for unrelated or illegitimate purposes.
3. Data Minimization: From what is provided about the data that is collected, it appears that only necessary data is collected from the user for stated purposes.
4. Accuracy: In the section 'Actualización de Su Cuenta', it is stated that users can edit their personal profile on the service, which provides a mechanism for ensuring the accuracy of data.
5. Storage Limitation: The policy states the retention period for data, seen in the section 'No Participar' stating that they retain the collected information for up to 60 days after termination.
6. Integrity and Confidentiality: The section 'Seguridad de Datos' describes certain data security measures in place, which indicates the presence of steps to protect the data from unauthorized access and loss.
However, it would be beneficial for the policy to explicitly provide some additional specifics, such as clarity in terms of data minimization, a legal basis for processing, and details about third-party data sharing practices to fully meet good privacy policy standards."
21,Business,1M+,Good Standard,"The policy follows Good Standard as it is comprehensive and follows the GDPR principles.
The policy sets a clear legal basis for data processing, asking for user's explicit and informed consent, thus adhering to the principle of lawfulness - ""By installing, using, registering for, or otherwise accessing our services, you agree to this privacy policy and give an explicit and informed consent to the processing, use, and disclosure of your personal data in accordance with this privacy policy.""
The policy aligns with the principle of purpose limitation, detailing the specific reasons they collect personal and non-personal data. For instance, they mention that they collect your email for account authentication and location data for mapping purposes.
The policy outlines data minimization by clearly describing the types of data collected (non-personal and personal), and states that collection is on a voluntary basis. Real Estate Portal USA also specifies situations in which data is collected and for what specific purposes.
The policy also respects the principle of storage limitation, mentioning that they retain data only as long as necessary for the purposes mentioned in the policy.
Real Estate Portal USA takes steps to ensure data integrity and confidentiality as specified by the principles. These include the use of standard industry practices and safeguards to protect the data, restricting access to personal data, and ensuring the security of the stored data.
Finally, the policy asserts users’ rights to access, rectify and delete their personal data, thereby maintaining transparency."
22,Business,1M+,Bad Standard,"The privacy policy of EasyViewer has several issues that categorize it as bad based on GDPR Article 5 principles. The sections that discuss ""collect, use and provide your non-privacy information to any third party"" are without ensuring explicit user consent which violates the principle of transparency. It lacks clear articulation of methods employed for data minimization and it fails to mention any safeguards for data accuracy. No information about the retention period of the data (storage limitation) is provided. While it does mention that personal information will be used to the extent permitted by law or within the scope of specific authorization, it fails to break down what this includes, avoiding clear communication. Conclusively, the privacy policy lacks a clear description of the implemented security measures to protect user data, breaching the principles of integrity and confidentiality."
23,Business,1M+,Good Standard,"This privacy policy can be considered as having good standards based on several observations. The first point to highlight is the principle of lawfulness. The policy clearly states the legal basis for data processing, including user consent, fulfilling contractual obligations, or compliance with legal requirements. Transparency is also evident in this policy as it clearly outlines what information is collected, how it is used, and the reason behind its collection. It also reveals who is collecting the information and details about third-party sharing.
The policy also adheres to the principle of purpose limitation by specifying the exact reasons for data collection. This aligns with the principle of data minimization as it only collects the necessary data to provide services and fulfill obligations. Again, the principle of accuracy can also be observed in this policy by allowing the data subject to access and update their personal information.
This privacy policy commits to the storage limitation as it details the exact length of time personal data will be retained and the variables influencing this duration. Finally, pertaining to the last principles of integrity and confidentiality, this policy outlines various security measures implemented to protect data from unauthorized access or accidental losses and explains the rights of data subjects and provides contact information for any queries or complaints, satisfying the principle of accountability."
24,Business,1M+,Good Standard,"The privacy policy provided by Booking.com group demonstrates explicit adherence to the GDPR Article 5 principles as defined by Good Privacy Policy Standards. Here are the specific sections that support this conclusion:
1. Lawfulness and Fairness: The policy has a clear legal structure for data processing, emphasizing user consent, contract fulfillment, and compliance with legal obligations (Under 'Legal bases').
2. Transparency: The policy thoroughly explains how data is collected (Under 'Data Collection'), used (Under 'Processing Purposes'), and shared (Under 'Data Sharing'). The information is understandable, transparent, and clear in the language used.
3. Purpose Limitation: The policy clearly defines the purposes of data collection and processing in the 'Processing purposes' section, thereby limiting the scope of data usage strictly about these purposes.
4. Data Minimization: The data is collected for specified purposes (as defined in the ‘Data Collection’ section). It embodies the culture of restraint indicating that only the necessary data is collected.
5. Accuracy: The company strongly urges Business Partners to ensure the accuracy of the personal data provided (Under 'Your Choices and Rights’).
6. Storage Limitation: The policy has a set data retention policy (Under 'Data retention') that ensures data is not held beyond what is necessary.
7. Integrity & Confidentiality: Policy highlights the protection and security measures used to safeguard personal data from unauthorized access, accidental loss, destruction, or damage (Under 'Security').
Overall, this policy is comprehensive, detailed and addresses all necessary aspects of good privacy policy standards, demonstrating an intention to comply with GDPR."
25,Business,1M+,Good Standard,"This privacy policy is comprehensive and fulfills several of the necessary criteria for Good Standard. It includes clear information on the entity responsible for data control (Kwork.com), and the types of data collected, including legally-required and voluntary information. The document clearly states the purpose of data collection, aligns with data minimization by only collecting necessary data and discusses the measures in place for data accuracy, storage limitations, and the lawfulness of their processing activities. It also details how data is shared, specifying that data isn't shared with third parties for their marketing purposes, indicating good integrity and confidentiality practices. They vowed to delete personal data from minors, which complies with child protection rules. The policy provides information on user's rights, how to contact them for further inquiries and provisions for changes in the privacy policy. |"
26,Business,5K+,Good Standard,"The privacy policy is reflective of Good Standard. It clearly demonstrates the application of the principles of GDPR. The policy explicitly states how and why data is collected (e.g., fulfillment of contractual obligations, legitimate business interests, consent), upholding the principles of lawfulness and transparency. It also provides information on data minimization, specifying the types of information collected and assuring the data collected is relevant for the services provided. The policy highlights how accuracy is ensured, by granting users the right to correct, amend or update the information provided. Storage limitation is addressed, stating that data will be deleted when it is no longer required, in line with their company policies. Lastly, the policy attests to the commitment to data security, including the transfer of data across borders, thus adhering to the principles of integrity and confidentiality. The policy also offers information on user rights and methods to withdraw consent, promoting the principle of fairness. |"
27,Business,5K+,Bad Standard,"The provided policy is incomplete and does not provide enough information to determine whether it adheres to GDPR Article 5 principles. A comprehensive evaluation cannot be done without relevant details pertaining to data processing, data storage, data accuracy, use of personal data and more."
28,Business,5K+,Good Standard,"The policy clearly provides information on the collection, use, and disclosure of Personally Identifiable Information (PII). It emphasizes voluntary submission of PII and assures users that their PII is not sold, shared, or rented to any third party for marketing purposes. The policy clearly states what may be collected (name, address, email, etc.) and the purposes for which this data is used including processing transactions and providing customer service. They also assure that disclosure of PII to third parties is limited and is done only in specific business contexts (like for shipping, payment processing, and legal purposes). Furthermore, they indicate a commitment to updating the privacy policy whenever necessary and demand users' constant review, upholding the principle of transparency. The policy also exhibits an undertaking to the principle of data minimization and storage limitation by clarifying the types of personal data collected and disclosing that it limits PII accessibility to third parties only when necessary. This suggests a culture of restraint in data collection and sharing."
29,Business,5K+,Good Standard,"The policy is generally well constructed and covers a significant portion of the GDPR Article 5 principles. Specific sections where it shows compliance include:
1. The policy specifies what information it collects and how it is used, thereby adhering to the principle of transparency. This includes personal and company details, cookies, communication data, automatic data collection, and location data.
2. The policy mentions that users can contact the company in case they want their provided data to be deleted, indicating a way to maintain data accuracy.
3. The policy underlines the fact that data is retained for as long as the user uses the application and for a reasonable time thereafter, fulfilling the principle of storage limitation.
4. Security of the data is addressed by stating that data will only be shared under limited circumstances, including legal necessities and after getting the users consent, following the principles of lawfulness, and confidentiality.
5. The policy also aligns with purpose limitation by clearly stating that location data, for instance, is collected for providing accurate services to the user.
Even though the policy does not expressly detail security measures to protect the data against unauthorized access, accidental loss, destruction, or damage, it addresses a significant portion of Good Privacy Policy Standards. Additionally, the use of simple, understandable language makes it more accessible to users."
30,Business,5K+,Good Standard,"The privacy policy of Ecolab does a proper job of adhering to the principles of GDPR Article 5. The policy provides a broad disclosure of how user data is collected, processed, and stored, which is reflective of lawfulness, fairness, and transparency. Additionally, it goes in-depth to specify the purpose of data collected, as well as the categories of data collected, which adhere to the principles of purpose limitation and data minimization. The policy also mentions that personal information is retained only for the necessary duration (storage limitation) and that it is processed safely (integrity and confidentiality). It also includes mechanisms for EU users to request the correction or deletion of their data, reflecting the principle of data accuracy. The policy makes a point to state that Ecolab does not knowingly collect data from individuals under the age of 18, showcasing responsibility in handling sensitive data. Despite slight deficiencies like the broad nature of 'service' descriptions and the non-specific length of data retention, the Ecolab privacy policy generally aligns with the Good Standard criteria as set out by GDPR Article 5 principles."
31,Business,5M+,Bad Standard,"The reason is the privacy policy lacks sufficient measures for many of the principles outlined by the GDPR.
- While the policy infers consent by stating ""...if you choose to use my service, then you agree to the collection and use of information in relation to this policy"", there is no explicit process outlined for acquiring granular consent from users prior to collecting and processing their data.
- The policy mentions retaining the information on the user's device but it does not provide specific details on data storage limitation practices such as the time period for which the data will be stored or the criteria used to determine this duration.
- The policy states that the app uses third-party services that ""may collect information used to identify you"" but doesn't explicitly outline which types of personal data may be collected, processed, or shared.
- The principle of data minimization is not well-adhered to, as it takes location data for ads placement. This could be potentially excessive, depending on the nature of the app's service.
- It does not provide any information about how users can rectify inaccurate personal data.
- Lastly, the policy states that ""I cannot guarantee its absolute security"", a statement that can be seen as a failure to ensure data integrity and confidentiality, even if it is a realistic assessment of digital security."
32,Business,5M+,Good Standard,"The privacy policy provided by Pinger showcases a significant emphasis on transparency and it suggests strong practices in line with the GDPR Article 5 standards. It specifies the exact types of information collected (Personal Information, App Data, and Share Data) and the purposes for which this data is used (improving services, product notifications, etc.). It explicitly outlines when and how it may share user information with third parties, ensuring consent and legal obligations are met. It also details plans for data integrity and security, noting the use of physical, electronic, and procedural safeguards to protect user information. Furthermore, users are given the option to access and remove their personal information, supporting the principle of storage limitation. The explicit mentions of children's privacy and non-intention to allow usage by those under 13 also aligns with the fairness principle. The policy includes a clause about revising its privacy practices periodically, demonstrating the adaptability required for accurate data handling. While the policy does make use of legal and technical language, the overall content is fairly understandable even for a layperson."
33,Business,5M+,Good Standard,"The privacy policy of BlueJeans demonstrates transparency by clearly explaining how the company collects, uses, shares, and stores users' data. It lays out the lawful reasons for data processing which include consent, contract fulfilment, legitimate interest, and compliance with the law. This meets the principle of lawfulness.
It fulfils the principle of fairness by stating that the data processing does not detrimentally affect the users.
In terms of transparency, the policy defines key terms and provides elaborate explanations for data processing activities, making it understandable to"
34,Business,5M+,Good Standard,"The privacy policy document provided by Asana abides by the guidelines provided by the GDPR. They explicitly mentioned the purposes for data collection and processing, under their User Content and Submissions on the Service section, and they also ensure users retain ownership of their data. Asana puts necessary measures in place for data protection as indicated in the Unauthorized Account Use section, where it lays down guidelines for notifying Asana in case of any unauthorized use or access to an account. The policy also presents data minimization where only necessary data is being collected as stated in the Account Registration and Confidentiality section. However, the policy lacks clarity on how long will the data be stored (Storage limitation) and does not provide explicit information on the rights of the data subjects to rectify their inaccurate data (accuracy of data)."
